# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
876 117 7 0.604000
877 117 6 0.546000
878 118 6 0.531000
879 120 6 0.532000
880 120 6 0.544000
881 120 6 0.536000
882 122 6 0.535000
883 124 7 0.570000
884 123 7 0.601000
885 123 7 0.600000
886 122 7 0.624000
887 122 7 0.617000
888 122 6 0.541000
889 123 7 0.608000
890 123 7 0.616000
891 123 7 0.609000
892 124 6 0.527000
893 124 6 0.528000
894 124 7 0.603000
895 124 7 0.611000
896 124 7 0.620000
897 124 6 0.537000
898 123 7 0.615000
899 123 7 0.603000
900 121 7 0.621000
901 121 7 0.610000
902 121 7 0.620000
903 120 7 0.620000
904 120 7 0.583000
905 119 6 0.513000
906 119 7 0.580000
907 119 6 0.537000
908 119 5 0.451000
909 120 6 0.531000
910 119 6 0.511000
911 119 7 0.585000
912 120 7 0.623000
913 120 6 0.544000
914 120 6 0.543000
915 120 7 0.620000
916 120 7 0.589000
917 119 7 0.596000
918 119 7 0.594000
919 119 7 0.621000
920 119 6 0.517000
921 120 6 0.537000
922 121 7 0.611000
923 121 7 0.624000
924 122 7 0.614000
925 122 6 0.534000
926 123 7 0.573000
927 122 6 0.535000
928 122 5 0.453000
929 123 7 0.572000
930 123 7 0.604000
931 123 7 0.612000
932 123 7 0.602000
933 123 7 0.611000
934 123 6 0.527000
935 123 6 0.525000
936 126 7 0.588000
937 125 7 0.566000
938 125 7 0.588000
939 122 7 0.579000
940 122 7 0.605000
941 122 6 0.524000
942 122 6 0.517000
943 121 7 0.608000
944 121 7 0.578000
945 121 7 0.604000
946 121 7 0.601000
947 123 7 0.586000
948 122 7 0.599000
949 122 7 0.605000
950 122 7 0.601000
951 121 7 0.558000
952 120 7 0.596000
953 116 7 0.612000
954 115 6 0.504000
955 116 6 0.500000
956 117 7 0.578000
957 117 7 0.583000
958 117 7 0.578000
959 115 7 0.628000
960 114 7 0.592000
961 117 7 0.576000
962 115 7 0.591000
963 115 7 0.593000
964 115 7 0.594000
965 116 7 0.622000
966 118 7 0.587000
967 119 7 0.589000
968 119 7 0.590000
969 119 7 0.624000
970 118 7 0.628000
971 116 7 0.598000
972 115 7 0.591000
973 115 6 0.548000
974 115 7 0.603000
975 116 7 0.596000
976 116 7 0.628000
977 117 5 0.440000
978 117 7 0.627000
979 116 7 0.633000
980 117 7 0.589000
981 117 7 0.623000
982 117 7 0.590000
983 117 7 0.619000
984 115 7 0.624000
985 115 7 0.609000
986 114 6 0.566000
987 114 7 0.605000
988 115 7 0.646000
989 114 7 0.616000
990 116 7 0.583000
991 115 6 0.540000
992 114 7 0.586000
993 114 7 0.588000
994 117 7 0.616000
995 115 7 0.613000
996 116 7 0.615000
997 117 7 0.597000
998 110 7 0.613000
999 110 7 0.609000
1000 110 7 0.599000
