# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
909 237 7 1.325000
910 237 7 1.334000
911 233 7 1.382000
912 233 7 1.392000
913 234 8 1.581000
914 234 8 1.550000
915 234 8 1.531000
916 233 8 1.535000
917 233 8 1.547000
918 234 8 1.550000
919 234 8 1.553000
920 236 8 1.513000
921 236 8 1.517000
922 236 9 1.708000
923 238 8 1.533000
924 239 8 1.542000
925 239 7 1.377000
926 235 7 1.368000
927 236 7 1.357000
928 235 8 1.538000
929 234 8 1.545000
930 232 8 1.545000
931 231 8 1.552000
932 231 8 1.535000
933 231 7 1.374000
934 229 7 1.368000
935 229 8 1.557000
936 229 8 1.558000
937 231 8 1.547000
938 232 7 1.381000
939 232 7 1.373000
940 232 8 1.549000
941 234 9 1.722000
942 232 7 1.377000
943 229 7 1.357000
944 229 7 1.364000
945 225 8 1.523000
946 225 7 1.346000
947 225 8 1.523000
948 226 8 1.535000
949 226 7 1.361000
950 225 8 1.514000
951 225 8 1.528000
952 225 8 1.488000
953 226 8 1.490000
954 224 7 1.321000
955 223 8 1.499000
956 223 8 1.506000
957 224 8 1.497000
958 228 8 1.521000
959 227 8 1.524000
960 226 7 1.357000
961 226 8 1.512000
962 227 8 1.534000
963 227 8 1.509000
964 228 8 1.497000
965 229 8 1.523000
966 228 8 1.530000
967 232 8 1.506000
968 232 8 1.534000
969 232 8 1.520000
970 244 8 1.566000
971 245 8 1.558000
972 246 8 1.533000
973 246 8 1.536000
974 246 9 1.708000
975 244 8 1.539000
976 248 8 1.533000
977 252 8 1.517000
978 252 7 1.370000
979 252 8 1.543000
980 248 7 1.380000
981 245 7 1.350000
982 243 7 1.320000
983 243 9 1.647000
984 247 9 1.665000
985 241 9 1.655000
986 240 8 1.462000
987 236 7 1.329000
988 237 8 1.504000
989 239 8 1.532000
990 239 8 1.509000
991 239 7 1.328000
992 239 8 1.506000
993 241 8 1.511000
994 236 8 1.499000
995 236 8 1.487000
996 237 8 1.505000
997 238 8 1.499000
998 240 8 1.479000
999 241 8 1.474000
1000 235 7 1.344000
