# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
760 384 21 7.863000
761 382 20 7.515000
762 381 21 7.876000
763 380 23 8.501000
764 380 21 7.639000
765 381 23 8.229000
766 382 24 8.754000
767 381 23 8.462000
768 381 22 8.233000
769 383 20 7.555000
770 384 21 7.870000
771 381 21 7.730000
772 381 22 7.999000
773 384 24 8.829000
774 384 24 8.992000
775 383 22 8.382000
776 384 22 8.318000
777 385 20 7.440000
778 387 21 7.728000
779 385 23 8.724000
780 385 20 7.695000
781 385 20 7.631000
782 385 23 8.612000
783 385 23 8.493000
784 384 22 8.088000
785 385 21 7.800000
786 384 22 8.215000
787 382 19 7.187000
788 382 20 7.490000
789 383 19 7.041000
790 383 22 7.994000
791 384 24 8.764000
792 383 20 7.533000
793 383 19 7.214000
794 383 21 7.833000
795 383 23 8.509000
796 383 23 8.311000
797 383 23 8.358000
798 383 19 7.133000
799 383 20 7.479000
800 383 24 8.826000
801 385 22 8.159000
802 382 21 7.757000
803 382 20 7.205000
804 385 19 6.877000
805 383 22 7.790000
806 384 20 7.072000
807 383 20 7.103000
808 384 20 7.124000
809 381 23 8.148000
810 381 20 7.120000
811 381 22 7.777000
812 373 20 7.187000
813 373 13 4.822000
814 372 11 4.138000
815 371 18 6.486000
816 369 18 6.444000
817 370 17 6.145000
818 370 18 6.463000
819 370 17 6.112000
820 371 17 6.218000
821 374 19 6.778000
822 373 18 6.429000
823 374 20 7.182000
824 374 20 7.135000
825 378 21 7.392000
826 379 17 6.073000
827 378 16 5.712000
828 378 18 6.743000
829 379 17 6.318000
830 375 20 7.311000
831 375 20 7.411000
832 375 19 7.014000
833 379 19 6.964000
834 381 20 7.336000
835 383 20 7.140000
836 382 17 6.292000
837 384 16 5.658000
838 385 19 6.890000
839 387 16 6.059000
840 386 18 6.721000
841 387 20 7.613000
842 387 22 8.314000
843 387 21 7.875000
844 383 21 8.000000
845 383 20 7.344000
846 383 21 7.671000
