# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
791 313 24 6.344000
792 313 21 5.567000
793 312 20 5.300000
794 313 21 5.540000
795 313 19 5.044000
796 311 19 5.220000
797 311 21 5.753000
798 310 22 5.994000
799 309 19 5.194000
800 311 20 5.425000
801 309 20 5.444000
802 308 18 4.929000
803 312 17 4.597000
804 313 19 5.116000
805 313 20 5.379000
806 313 12 3.312000
807 314 23 6.224000
808 313 22 5.947000
809 311 21 5.729000
810 311 20 5.525000
811 312 20 5.518000
812 313 20 5.435000
813 311 15 4.198000
814 312 21 5.757000
815 313 21 5.786000
816 314 18 4.998000
817 312 18 4.983000
818 309 18 5.015000
819 309 18 5.004000
820 309 18 5.023000
821 308 16 4.473000
822 306 21 5.431000
823 308 22 5.619000
824 304 18 4.627000
825 306 20 5.141000
826 307 21 5.438000
827 306 20 5.204000
828 307 19 4.952000
829 307 19 4.953000
830 308 18 4.709000
831 308 19 4.949000
832 305 21 5.453000
833 306 20 5.224000
834 307 22 5.752000
835 307 14 3.732000
836 306 12 3.240000
837 306 19 5.041000
838 307 18 4.731000
839 308 20 5.178000
840 308 19 4.938000
841 308 21 5.474000
842 308 22 5.751000
843 308 20 5.211000
844 307 20 5.244000
845 306 19 5.009000
846 306 20 5.236000
847 305 18 4.769000
848 305 19 4.973000
849 303 18 4.745000
850 303 20 5.207000
851 308 23 6.116000
852 307 21 5.571000
853 307 13 3.538000
854 306 10 2.728000
855 305 20 5.195000
856 306 22 5.656000
857 306 20 5.177000
858 307 19 4.938000
859 307 13 3.435000
860 307 19 4.914000
861 303 21 5.390000
862 302 20 5.158000
863 303 19 4.930000
864 301 14 3.720000
865 301 18 4.699000
866 301 16 4.192000
867 301 19 4.944000
868 302 18 4.711000
869 300 18 4.743000
870 300 20 5.232000
871 301 19 4.958000
872 303 18 4.663000
873 302 20 5.137000
874 302 21 5.354000
875 300 20 5.193000
876 303 20 5.129000
877 303 21 5.394000
878 309 22 5.716000
879 309 23 5.921000
880 311 22 5.678000
881 311 19 4.940000
882 310 19 4.932000
883 311 20 5.190000
884 311 20 5.200000
885 308 19 4.942000
886 308 18 4.701000
887 308 20 5.234000
888 309 19 5.020000
889 309 19 5.040000
890 307 20 5.210000
891 308 19 4.965000
892 311 14 3.743000
893 321 21 5.529000
894 321 21 5.544000
895 321 18 4.821000
896 321 19 5.090000
897 321 18 4.841000
898 321 19 5.132000
899 321 18 4.804000
900 318 20 5.356000
901 318 17 4.542000
902 320 18 4.794000
903 316 20 5.334000
904 316 19 5.106000
905 316 19 5.094000
906 315 18 4.841000
907 316 17 4.567000
908 316 19 5.082000
909 318 19 5.069000
910 316 19 5.048000
911 316 16 4.331000
912 316 20 5.359000
913 316 21 5.656000
914 313 19 5.044000
915 313 22 5.845000
916 312 23 6.149000
917 313 18 4.850000
918 312 20 5.263000
919 313 20 5.234000
920 316 21 5.541000
921 315 20 5.278000
922 314 21 5.459000
923 315 20 5.304000
924 314 19 5.041000
925 314 18 4.826000
926 313 21 5.549000
927 311 21 5.517000
928 312 15 4.015000
929 310 17 4.513000
930 311 19 4.976000
931 311 18 4.750000
932 313 18 4.721000
933 313 18 4.742000
934 312 15 3.984000
935 310 18 4.673000
936 312 21 5.443000
937 315 20 5.150000
938 315 18 4.593000
939 315 20 5.089000
940 308 22 5.633000
941 308 23 5.905000
942 307 20 5.154000
943 307 22 5.633000
944 306 22 5.644000
945 306 20 5.181000
946 306 18 4.646000
947 306 18 4.630000
948 305 18 4.639000
949 306 16 4.191000
950 305 19 4.920000
951 307 21 5.397000
952 306 22 5.643000
953 306 19 4.915000
954 307 20 5.185000
955 307 20 5.169000
956 307 19 4.925000
957 313 21 5.422000
958 313 22 5.642000
959 313 17 4.389000
960 313 26 6.651000
961 312 25 6.352000
962 310 18 4.668000
963 310 19 4.920000
964 307 21 5.474000
965 307 14 3.712000
966 306 19 4.918000
967 304 18 4.701000
968 305 17 4.436000
969 312 19 4.908000
970 313 19 4.870000
971 311 21 5.328000
972 313 19 5.013000
973 313 14 3.756000
974 313 15 4.016000
975 313 16 4.265000
976 310 11 3.008000
977 313 14 3.747000
978 314 16 4.239000
979 313 19 4.969000
980 313 17 4.484000
981 314 19 4.992000
982 313 14 3.735000
983 310 21 5.350000
984 303 20 5.133000
985 304 13 3.414000
986 303 12 3.146000
987 304 17 4.403000
988 306 10 2.687000
989 305 18 4.666000
990 303 18 4.647000
991 303 16 4.201000
992 302 19 4.961000
993 302 12 3.252000
994 302 17 4.417000
995 300 16 4.172000
996 300 11 2.941000
997 300 13 3.461000
998 300 17 4.461000
999 299 19 4.953000
1000 299 20 5.209000
